,0
AS1_RGMEALFQA,0.010763637
DASH,0.011747615
RC,0.012148431
AMED_NONALC,0.0121674845
DII,0.014038889
AS1_EDUA,0.015329277
BMI,0.015551385
HOMA_IR,0.015688283
AS1_SLPAMSF,0.015878065
AS1_SEX,0.0166853
AS1_JOBB,0.016783103
KHEI90,0.017275216
AS1_PHYACTL,0.017692998
AS1_TOTALC,0.020931182
AS1_HVSMAM,0.021135518
PRAL,0.021614762
AI,0.02167857
AS1_INCOME,0.021798832
AS1_DRINK,0.021893678
HAS_HYPERLIPIDEMI,0.021954518
AS1_TIED,0.02390076
AS1_SMOKEA,0.034550954
AS1_AGE,0.038666684
AS1_PHYACTM,0.04204005
AS1_PHYACTH,0.053969316
HAS_DIABETES,0.055402815
AS1_HEALTH,0.056492724
HAS_HYPERTENSION,0.35221997
