,TP,FN,FP,TN,Accuracy,Precision,Recall,F1 Score
XGB All,45,5,26,24,0.69,0.8275862068965517,0.48,0.6075949367088608
XGB All len: 32,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 32,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 31,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 31,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 31,50,0,44,6,0.56,1.0,0.12,0.21428571428571425
XGB All len: 31,49,1,45,5,0.54,0.8333333333333334,0.1,0.17857142857142858
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 31,50,0,50,0,0.5,1.0,0.0,0.0
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 31,50,0,50,0,0.5,1.0,0.0,0.0
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,49,1,0.51,1.0,0.02,0.0392156862745098
XGB All len: 31,50,0,45,5,0.55,1.0,0.1,0.18181818181818182
XGB All len: 31,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 31,50,0,49,1,0.51,1.0,0.02,0.0392156862745098
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 31,50,0,44,6,0.56,1.0,0.12,0.21428571428571425
XGB All len: 31,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 31,50,0,46,4,0.54,1.0,0.08,0.14814814814814814
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 31,50,0,45,5,0.55,1.0,0.1,0.18181818181818182
XGB All len: 31,50,0,45,5,0.55,1.0,0.1,0.18181818181818182
XGB All len: 31,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 31,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 32,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 31,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 31,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 30,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 29,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 28,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 27,49,1,45,5,0.54,0.8333333333333334,0.1,0.17857142857142858
XGB All len: 26,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 25,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 24,50,0,47,3,0.53,1.0,0.06,0.11320754716981131
XGB All len: 23,50,0,48,2,0.52,1.0,0.04,0.07692307692307693
XGB All len: 22,49,1,48,2,0.51,0.6666666666666666,0.04,0.07547169811320754
XGB All len: 21,50,0,49,1,0.51,1.0,0.02,0.0392156862745098
XGB All len: 20,47,3,50,0,0.47,0.0,0.0,0.0
XGB All len: 19,48,2,47,3,0.51,0.6,0.06,0.1090909090909091
XGB All len: 18,50,0,49,1,0.51,1.0,0.02,0.0392156862745098
XGB All len: 17,50,0,49,1,0.51,1.0,0.02,0.0392156862745098
XGB All len: 16,49,1,42,8,0.57,0.8888888888888888,0.16,0.27118644067796616
XGB All len: 15,50,0,49,1,0.51,1.0,0.02,0.0392156862745098
XGB All len: 14,49,1,43,7,0.56,0.875,0.14,0.24137931034482757
XGB All len: 13,48,2,41,9,0.57,0.8181818181818182,0.18,0.29508196721311475
XGB All len: 12,48,2,44,6,0.54,0.75,0.12,0.20689655172413793
XGB All len: 11,48,2,43,7,0.55,0.7777777777777778,0.14,0.23728813559322035
XGB All len: 10,49,1,47,3,0.52,0.75,0.06,0.1111111111111111
XGB All len: 9,48,2,43,7,0.55,0.7777777777777778,0.14,0.23728813559322035
XGB All len: 8,48,2,45,5,0.53,0.7142857142857143,0.1,0.1754385964912281
XGB All len: 7,45,5,39,11,0.56,0.6875,0.22,0.3333333333333333
XGB All len: 6,41,9,36,14,0.55,0.6086956521739131,0.28,0.3835616438356165
XGB All len: 5,39,11,37,13,0.52,0.5416666666666666,0.26,0.35135135135135137
XGB All len: 4,37,13,30,20,0.57,0.6060606060606061,0.4,0.4819277108433735
XGB All len: 3,37,13,30,20,0.57,0.6060606060606061,0.4,0.4819277108433735
XGB All len: 2,41,9,28,22,0.63,0.7096774193548387,0.44,0.5432098765432098
XGB All len: 1,0,50,0,50,0.5,0.5,1.0,0.6666666666666666
